id,name,size,email,phone,website,address,city,rating,reviews,source,last_updated
ChIJs8OlHxr_sUARQK2ATCKsI3g,Nafi Motors,large,info@nafimotors.ro,021 9829,https://www.nafimotors.ro/,"Bulevardul Mărășești 131, 040253 București, România",040253 București,4.8,1091,google_places,2026-02-11T10:48:24Z
ChIJm1cXC6T5sUAR8rto2Zdr0ag,PITCAR Automotive Holdings,large,office@pitcar.ro,021 230 7868,https://pitcar.ro/,"Str. Barbu Văcărescu, 74-76, 020272 București, România",020272 București,4.8,2140,google_places,2026-02-11T10:48:26Z
ChIJs6OdfDb5sUAR7cE8Uz6NzJQ,Bosch Car Service - Revizie Auto Online,large,service@revizieopel.ro,0726 081 693,https://www.revizieautoservice.ro/contact-service/?utm_source=google&utm_medium=organic&utm_campaign=google_my_business,"Șos. Morarilor 2, 022452 București, România",022452 București,4.6,1234,google_places,2026-02-11T10:48:28Z
ChIJ6RKa12EBskARZ5HBiQ9QroY,KisService - Service auto sector 6,large,contact@kisservice.ro,0771 541 599,https://kisservice.ro/,"Strada Ion Manolescu 3, 077042 București, România",077042 București,4.8,233,google_places,2026-02-11T10:48:29Z
ChIJxcKyyUr_sUARQmYE-_Tt8Sg,Service auto Bucuresti,medium,,0722 205 510,,"Strada Gheorghe D. Palade nr. 20, 020593 București, România",020593 București,4.4,130,google_places,2026-02-11T10:48:29Z
ChIJj1WwPRr-sUARO1dCnXbRE0M,Capital Service Auto,large,,0724 827 122,https://www.capitalserviceauto.ro/,"9493+39, Strada Pogoanele 159, 041117 București, România",041117 București,4.4,843,google_places,2026-02-11T10:48:30Z
ChIJ5ffSm3ABskARPPljkav43Vc,Automotive Car Service Auto Sector 6,large,,0727 785 201,,"Splaiul Independenței 313, 060042 București, România",060042 București,4.8,387,google_places,2026-02-11T10:48:30Z
ChIJJ29i1Wj8sUARZEDn7IJYzn0,Service Auto București - DEXCAR - Vopsitorie Auto,large,contact@servicedexcar.ro,0731 348 341,https://servicedexcar.ro/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,"Strada Balta Albina 8, 032622 București, România",032622 București,4.5,479,google_places,2026-02-11T10:48:32Z
ChIJB4yaw-D_sUARYi7IvWynAC0,AUTO-FAST - VULCANIZARE AUTO / GEMOETRIE 3D la AUTO-FAST / Incarcare FREON AUTO Non-Stop,large,,0762 893 709,,"Bulevardul Energeticienilor 86, 032092 București, România",032092 București,4.9,3906,google_places,2026-02-11T10:48:32Z
ChIJY6dZOycCskARH_mQKRxSX88,Arcom - Tinichigerie și Vopsitorie Auto,large,,0770 831 100,https://www.arcom-autoservice.ro/,"Calea Griviței 355 - 357, 012244 București, România",012244 București,4.8,204,google_places,2026-02-11T10:48:49Z
ChIJ7eUN2P75sUARmUMU9YT-wIU,Service auto,small,,0767 343 365,,"Strada Hortensiei 2, București, România",București,5,18,google_places,2026-02-11T10:48:49Z
ChIJxylfre4BskARdEnRUG4UQUE,La Service,large,,0747 099 009,http://www.la-service.ro/,"Strada Sergent Constantin Ghercu 5, 060201 București, România",060201 București,4.6,265,google_places,2026-02-11T10:48:51Z
ChIJlT_D6Rr_sUARfki0VbbStBs,MAXIM SERVICE AUTO ITP,medium,,0730 897 138,http://www.maxim-serv.ro/,"Strada Cuza Vodă 82, 040282 București, România",040282 București,4.9,187,google_places,2026-02-11T10:49:08Z
ChIJ160A-X0BskAROvnH_LEwj7k,Service Auto,medium,,0724 710 041,https://serviceauto-rapid.ro/servicii/,"Strada Câmpulung 96, 060405 București, România",060405 București,3.9,172,google_places,2026-02-11T10:49:23Z
ChIJibvnLNv4sUARR5CwyGcyy_A,Activ Auto Service,large,,0727 002 233,http://www.activauto.ro/,"Strada Ghinea Brătășanu 15, 023445 București, România",023445 București,4.7,312,google_places,2026-02-11T10:49:26Z
ChIJj4vdhOT_sUAR-OqhZRATazg,"Carserv Electronic Bucuresti Service Diagnoza Auto Electrica, Electronica Auto",medium,contact@carserv-electronic.ro,0764 828 560,https://carserv-electronic.ro/,"Str. Doina 17, 052152 București, România",052152 București,4.8,93,google_places,2026-02-11T10:49:28Z
